模型,验证集最佳准确率,测试集准确率,模型大小 (MB),推理时间 (ms/张),平均每轮训练时间 (s)
MobileNetV2,1.0000,1.0000,8.72,16.05,98.37
ResNet18,1.0000,1.0000,42.71,17.55,91.60
